,Kateqoriya,Sah?,Ç?xar??,T?mir,Otaq Say?,Rayon,Q?s?b?,Elan ID,Qiym?t,Elan Sahibi,?poteka,Elan Linki,Enine Koordinat,Uzununa Koordinat,Evin M?rt?b?si,Ümumi M?rt?b? Say?
530,Köhn? tikili,24,var,var,1,Suraxan? r.,Z?? q.,5334319,38000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5334319,40.35913777,49.97851498,5,5
531,Yeni tikili,53,yoxdur,yoxdur,2,Bin?q?di r.,Bin?q?di q.,5347421,38000,vasit?çi (agent),Yoxdur,https://bina.az/items/5347421,40.48307946,49.83831204,3,4
532,Yeni tikili,72,var,var,2,Ab?eron r.,Saray q.,5350654,38000,mülkiyy?tçi,var,https://bina.az/items/5350654,40.54896116,49.71485138,4,14
533,Yeni tikili,41,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5375330,38000,vasit?çi (agent),Yoxdur,https://bina.az/items/5375330,40.49069456,49.75255282,6,6
534,Köhn? tikili,50,var,var,2,Sabunçu r.,Ma?ta?a q.,5369270,38500,vasit?çi (agent),Yoxdur,https://bina.az/items/5369270,40.5312593,49.99186339,2,3
535,Yeni tikili,54,yoxdur,yoxdur,3,Bin?q?di r.,Bin?q?di q.,4758766,39000,vasit?çi (agent),Yoxdur,https://bina.az/items/4758766,40.47117558,49.83926296,2,4
536,Yeni tikili,42,yoxdur,yoxdur,2,Bin?q?di r.,Bin?q?di q.,5351238,39900,mülkiyy?tçi,Yoxdur,https://bina.az/items/5351238,40.44783292,49.77890566,3,4
537,Yeni tikili,50,yoxdur,yoxdur,1,Bin? atç?l?q m?rk?zi,X?z?r r.,5129004,40000,mülkiyy?tçi,var,https://bina.az/items/5129004,40.4634229,50.0835145,2,4
538,Yeni tikili,50,yoxdur,yoxdur,1,Bin? atç?l?q m?rk?zi,X?z?r r.,5205765,40000,mülkiyy?tçi,var,https://bina.az/items/5205765,40.4634229,50.0835145,3,4
539,Yeni tikili,44,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5261621,40000,vasit?çi (agent),Yoxdur,https://bina.az/items/5261621,40.49219702,49.7532177,6,6
540,Yeni tikili,47,yoxdur,yoxdur,1,['Ab?eron r.'],Yoxdur,5307279,40000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5307279,40.46103789,49.66157198,10,10
541,Yeni tikili,47,yoxdur,yoxdur,1,Ab?eron r.,Saray q.,5117211,40700,mülkiyy?tçi,Yoxdur,https://bina.az/items/5117211,40.5272422,49.74289591,16,17
542,Yeni tikili,54,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,4740645,41000,vasit?çi (agent),Yoxdur,https://bina.az/items/4740645,40.49219702,49.7532177,6,6
543,Yeni tikili,62,var,var,2,Sabunçu r.,Zabrat q.,5332123,41000,vasit?çi (agent),Yoxdur,https://bina.az/items/5332123,40.486444,49.9546317,9,12
544,Köhn? tikili,10,yoxdur,var,1,Sahil m.,Xalça Muzeyi,5369390,41000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5369390,40.37219716,49.84119323,1,4
545,Yeni tikili,54,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,4930676,41500,vasit?çi (agent),Yoxdur,https://bina.az/items/4930676,40.49219702,49.7532177,6,6
546,Yeni tikili,54,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,4078252,42000,vasit?çi (agent),Yoxdur,https://bina.az/items/4078252,40.4862557,49.757531,6,6
547,Yeni tikili,50,var,yoxdur,1,Ab?eron r.,Masaz?r q.,4865895,42000,vasit?çi (agent),Yoxdur,https://bina.az/items/4865895,40.46571972,49.75605011,6,6
548,Yeni tikili,39,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5285966,42000,vasit?çi (agent),Yoxdur,https://bina.az/items/5285966,40.49085507,49.75802889,6,8
549,Yeni tikili,65,var,var,2,Ab?eron r.,M?mm?dli q.,5338368,42000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5338368,40.51767342,49.93866563,3,10
550,Yeni tikili,39,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5276250,42500,vasit?çi (agent),Yoxdur,https://bina.az/items/5276250,40.4899124,49.75974083,6,8
551,Yeni tikili,35,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5088234,43000,vasit?çi (agent),Yoxdur,https://bina.az/items/5088234,40.4910172,49.74993862,5,6
552,Köhn? tikili,20,var,yoxdur,1,Xalqlar Dostlu?u m.,?hm?dli m.,5131164,43000,vasit?çi (agent),Yoxdur,https://bina.az/items/5131164,40.39269806,49.95669311,3,5
553,Yeni tikili,55,var,yoxdur,1,Ab?eron r.,Masaz?r q.,5338780,43200,mülkiyy?tçi,Yoxdur,https://bina.az/items/5338780,40.4862557,49.757531,6,6
554,Yeni tikili,54,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,4629912,43500,vasit?çi (agent),Yoxdur,https://bina.az/items/4629912,40.49219702,49.7532177,6,6
555,Köhn? tikili,30,var,var,2,Qarada? r.,Sahil q.,5333450,43500,mülkiyy?tçi,Yoxdur,https://bina.az/items/5333450,40.221133,49.570521,1,2
556,Yeni tikili,54,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5160208,44000,vasit?çi (agent),Yoxdur,https://bina.az/items/5160208,40.49219702,49.7532177,6,6
557,Yeni tikili,44,var,yoxdur,2,Ab?eron r.,Masaz?r q.,5248376,44000,vasit?çi (agent),Yoxdur,https://bina.az/items/5248376,40.46516824,49.75555658,3,4
558,Yeni tikili,44,var,yoxdur,1,Ab?eron r.,Masaz?r q.,5303132,44000,vasit?çi (agent),var,https://bina.az/items/5303132,40.48362712,49.75233639,3,5
559,Yeni tikili,53,var,yoxdur,2,Ab?eron r.,Masaz?r q.,5309352,44000,vasit?çi (agent),Yoxdur,https://bina.az/items/5309352,40.4862557,49.757531,6,6
560,Yeni tikili,10,yoxdur,var,1,?ah ?smay?l X?tai m.,X?tai r.,5324402,44000,vasit?çi (agent),Yoxdur,https://bina.az/items/5324402,40.38282963,49.87262344,17,24
561,Yeni tikili,44,var,yoxdur,1,Ab?eron r.,Masaz?r q.,5363726,44000,vasit?çi (agent),var,https://bina.az/items/5363726,40.4862557,49.757531,5,5
562,Yeni tikili,45,yoxdur,yoxdur,2,Bin?q?di r.,Bin?q?di q.,4577306,44550,mülkiyy?tçi,Yoxdur,https://bina.az/items/4577306,40.4711919,49.84162331,3,4
563,Yeni tikili,45,yoxdur,var,1,Ab?eron r.,M?mm?dli q.,5264429,44900,vasit?çi (agent),Yoxdur,https://bina.az/items/5264429,40.50697006,49.91063441,4,5
564,Yeni tikili,40,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,4714500,45000,vasit?çi (agent),Yoxdur,https://bina.az/items/4714500,40.46793987,49.75682259,6,7
565,Yeni tikili,40,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,4794631,45000,vasit?çi (agent),Yoxdur,https://bina.az/items/4794631,40.49219702,49.7532177,5,6
566,Yeni tikili,57,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5305264,45000,vasit?çi (agent),Yoxdur,https://bina.az/items/5305264,40.4833507,49.77001937,6,6
567,Yeni tikili,45,var,yoxdur,1,Ab?eron r.,Masaz?r q.,5313847,45000,vasit?çi (agent),Yoxdur,https://bina.az/items/5313847,40.48984598,49.74682362,5,7
568,Yeni tikili,40,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5314147,45000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5314147,40.46483618,49.78136821,1,3
569,Yeni tikili,55,var,var,2,Bin?q?di r.,Xoc?s?n q.,5316977,45000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5316977,40.41577635,49.74422177,3,9
570,Köhn? tikili,55,var,yoxdur,2,Sabunçu r.,Zabrat q.,5330276,45000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5330276,40.4704714,49.95097702,1,1
571,Yeni tikili,37,var,var,2,Ab?eron r.,Masaz?r q.,5331872,45000,vasit?çi (agent),Yoxdur,https://bina.az/items/5331872,40.48463095,49.75848467,4,4
572,Yeni tikili,37,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5331952,45000,vasit?çi (agent),Yoxdur,https://bina.az/items/5331952,40.48360342,49.75699594,4,4
573,Yeni tikili,37,var,var,2,Ab?eron r.,Masaz?r q.,5332748,45000,vasit?çi (agent),Yoxdur,https://bina.az/items/5332748,40.48267883,49.75624354,4,4
574,Yeni tikili,82,var,var,2,['Pirallah? r.'],Yoxdur,5350315,45000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5350315,40.47383536,50.32599006,9,9
575,Yeni tikili,40,var,var,2,Ab?eron r.,Masaz?r q.,5356780,45000,vasit?çi (agent),var,https://bina.az/items/5356780,40.45806649,49.75618958,1,3
576,Yeni tikili,35,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5305191,45500,vasit?çi (agent),Yoxdur,https://bina.az/items/5305191,40.48839245,49.75150645,1,6
577,Yeni tikili,46,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5251122,46000,vasit?çi (agent),Yoxdur,https://bina.az/items/5251122,40.47720299,49.75203784,3,5
578,Yeni tikili,46,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5302710,46000,vasit?çi (agent),Yoxdur,https://bina.az/items/5302710,40.48377263,49.75854037,3,5
579,Yeni tikili,46,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5327926,46000,vasit?çi (agent),Yoxdur,https://bina.az/items/5327926,40.47881456,49.75300312,3,5
580,Yeni tikili,44,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5168410,47000,vasit?çi (agent),Yoxdur,https://bina.az/items/5168410,40.47221885,49.75597224,1,6
581,Yeni tikili,43,var,yoxdur,1,Ab?eron r.,Masaz?r q.,5343659,47000,vasit?çi (agent),Yoxdur,https://bina.az/items/5343659,40.49158795,49.75332407,1,6
582,Köhn? tikili,56,var,var,2,Qarada? r.,S?ng?çal q.,5356155,47500,mülkiyy?tçi,Yoxdur,https://bina.az/items/5356155,40.17517258,49.46759949,3,5
583,Yeni tikili,44,var,yoxdur,1,Ab?eron r.,Masaz?r q.,5361189,47500,mülkiyy?tçi,Yoxdur,https://bina.az/items/5361189,40.4862557,49.757531,5,6
584,Yeni tikili,44,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5311947,48000,vasit?çi (agent),Yoxdur,https://bina.az/items/5311947,40.47003535,49.75658686,5,6
585,Yeni tikili,66,yoxdur,yoxdur,2,['Ab?eron r.'],Yoxdur,5342435,48000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5342435,40.47413612,49.73484856,10,16
586,Yeni tikili,42,var,var,2,Ab?eron r.,Masaz?r q.,5171440,48500,vasit?çi (agent),Yoxdur,https://bina.az/items/5171440,40.49217412,49.75006945,6,6
587,Yeni tikili,41,var,yoxdur,1,Sea Breeze,Sabunçu r.,5348752,49000,mülkiyy?tçi,var,https://bina.az/items/5348752,40.59166086,49.98518321,2,8
588,Yeni tikili,81,var,var,2,Yasamal r.,Yeni Yasamal q.,5374825,49000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5374825,40.39615259,49.78822068,11,16
589,Yeni tikili,41,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5018056,49500,vasit?çi (agent),Yoxdur,https://bina.az/items/5018056,40.49219702,49.7532177,4,6
590,Yeni tikili,41,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5099682,49500,vasit?çi (agent),Yoxdur,https://bina.az/items/5099682,40.49219702,49.7532177,4,6
591,Yeni tikili,44,var,yoxdur,1,Ab?eron r.,Masaz?r q.,5336704,49500,vasit?çi (agent),Yoxdur,https://bina.az/items/5336704,40.4862557,49.757531,5,6
592,Köhn? tikili,76,yoxdur,var,2,Bin?q?di r.,Bin?q?di q.,5351110,49500,mülkiyy?tçi,Yoxdur,https://bina.az/items/5351110,40.48571344,49.83303921,6,6
593,Yeni tikili,44,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5360233,49500,vasit?çi (agent),Yoxdur,https://bina.az/items/5360233,40.49219588,49.75212367,5,6
594,Yeni tikili,44,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5360302,49500,vasit?çi (agent),Yoxdur,https://bina.az/items/5360302,40.49023763,49.75358279,5,6
595,Yeni tikili,51,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5222464,49800,vasit?çi (agent),Yoxdur,https://bina.az/items/5222464,40.4862557,49.757531,8,8
596,Yeni tikili,54,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,4281925,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/4281925,40.49025689,49.7571653,4,6
597,Köhn? tikili,25,var,var,1,Xalqlar Dostlu?u m.,Nizami r.,4860783,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/4860783,40.40187378,49.95445754,5,5
598,Köhn? tikili,59,var,var,3,Qarada? r.,Qobustan q.,4961455,50000,mülkiyy?tçi,Yoxdur,https://bina.az/items/4961455,40.286,49.708,5,5
599,Yeni tikili,42,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5017948,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5017948,40.49219702,49.7532177,4,6
600,Yeni tikili,58,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5240560,50000,vasit?çi (agent),var,https://bina.az/items/5240560,40.4862557,49.757531,12,15
601,Yeni tikili,44,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5245541,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5245541,40.49219702,49.7532177,4,6
602,Yeni tikili,44,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5264433,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5264433,40.49317497,49.75452693,5,6
603,Yeni tikili,56,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5281862,50000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5281862,40.52693138,49.74299577,14,17
604,Yeni tikili,68,yoxdur,yoxdur,2,Bin?q?di r.,Bin?q?di q.,5296734,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5296734,40.47428076,49.82495464,2,4
605,Yeni tikili,49,yoxdur,var,1,Bin?q?di r.,Xoc?s?n q.,5307170,50000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5307170,40.41662645,49.74495658,4,9
606,Yeni tikili,50,var,var,2,Ab?eron r.,Masaz?r q.,5307528,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5307528,40.47616925,49.74972041,1,2
607,Yeni tikili,58,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5311911,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5311911,40.47507671,49.75282307,3,4
608,Yeni tikili,54,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5317279,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5317279,40.47012972,49.75564272,4,6
609,Yeni tikili,49,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5321559,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5321559,40.47774306,49.7524712,3,5
610,Yeni tikili,49,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5321573,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5321573,40.47012972,49.75590022,3,5
611,Yeni tikili,49,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5321631,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5321631,40.48809549,49.76121988,3,5
612,Yeni tikili,120,yoxdur,var,3,Yasamal r.,Yeni Yasamal q.,5348514,50000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5348514,40.39741376,49.7892198,16,16
613,Yeni tikili,50,var,var,2,Ab?eron r.,Masaz?r q.,5350926,50000,vasit?çi (agent),Yoxdur,https://bina.az/items/5350926,40.47301468,49.74898106,1,2
614,Yeni tikili,47,yoxdur,yoxdur,1,Sabunçu r.,Zabrat q.,5359276,50000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5359276,40.49241292,49.9543289,7,9
615,Köhn? tikili,36,var,var,1,['Ab?eron r.'],Yoxdur,5371507,50000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5371507,40.47075902,49.73956042,11,11
616,Yeni tikili,50,yoxdur,var,2,Suraxan? r.,Qaraçuxur q.,5371904,50000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5371904,40.39143303,49.98198906,1,2
617,Yeni tikili,36,var,var,2,['Ab?eron r.'],Yoxdur,5261324,50900,vasit?çi (agent),Yoxdur,https://bina.az/items/5261324,40.46853111,49.74072933,9,11
618,Yeni tikili,54,var,var,2,Ab?eron r.,Masaz?r q.,5004631,51000,vasit?çi (agent),Yoxdur,https://bina.az/items/5004631,40.49174621,49.75513727,6,6
619,Yeni tikili,54,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5047453,51000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5047453,40.50631296,49.75499224,2,8
620,Yeni tikili,52,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5176862,51000,vasit?çi (agent),Yoxdur,https://bina.az/items/5176862,40.48025697,49.75487978,5,5
621,Köhn? tikili,25,var,var,1,Bin?q?di r.,7-ci mikrorayon q.,5223902,51000,vasit?çi (agent),Yoxdur,https://bina.az/items/5223902,40.4301447,49.8531172,3,5
622,Yeni tikili,54,var,var,2,Ab?eron r.,Masaz?r q.,5285906,51000,vasit?çi (agent),Yoxdur,https://bina.az/items/5285906,40.4862557,49.757531,6,6
623,Yeni tikili,54,var,var,2,Ab?eron r.,Masaz?r q.,5306832,51000,vasit?çi (agent),Yoxdur,https://bina.az/items/5306832,40.49108736,49.75338936,6,6
624,Yeni tikili,40,var,var,2,Ab?eron r.,Masaz?r q.,5317817,51000,vasit?çi (agent),Yoxdur,https://bina.az/items/5317817,40.49102819,49.75513728,6,6
625,Yeni tikili,35,var,var,1,Ab?eron r.,Masaz?r q.,5351264,51300,vasit?çi (agent),var,https://bina.az/items/5351264,40.49033286,49.75339118,5,6
626,Yeni tikili,44,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,4966744,51500,vasit?çi (agent),Yoxdur,https://bina.az/items/4966744,40.49135456,49.75590975,5,6
627,Yeni tikili,71,yoxdur,yoxdur,3,Ab?eron r.,Masaz?r q.,4996422,51500,vasit?çi (agent),Yoxdur,https://bina.az/items/4996422,40.49219702,49.7532177,6,6
628,Yeni tikili,44,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5067237,51500,vasit?çi (agent),Yoxdur,https://bina.az/items/5067237,40.49219702,49.7532177,5,6
629,Yeni tikili,49,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5367354,51500,vasit?çi (agent),Yoxdur,https://bina.az/items/5367354,40.46595069,49.75615771,1,4
630,Köhn? tikili,25,var,var,1,Azadl?q Prospekti m.,Bin?q?di r.,4923213,52000,mülkiyy?tçi,Yoxdur,https://bina.az/items/4923213,40.42796265,49.85030724,3,5
631,Köhn? tikili,23,var,var,1,['Nizami r.'],Yoxdur,5308729,52000,vasit?çi (agent),Yoxdur,https://bina.az/items/5308729,40.40759793,49.95468378,2,5
632,Yeni tikili,42,yoxdur,yoxdur,2,Bin?q?di r.,Bil?c?ri q.,5323908,52000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5323908,40.44789238,49.77865687,1,4
633,Köhn? tikili,26,var,var,1,Azadl?q Prospekti m.,Bin?q?di r.,5327116,52000,vasit?çi (agent),Yoxdur,https://bina.az/items/5327116,40.42649286,49.84189103,3,5
634,Köhn? tikili,25,var,var,1,['Bin?q?di r.'],Yoxdur,5349398,52000,vasit?çi (agent),Yoxdur,https://bina.az/items/5349398,40.42775602,49.85284018,3,5
635,Yeni tikili,56,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5354854,52000,vasit?çi (agent),Yoxdur,https://bina.az/items/5354854,40.52726787,49.74283565,4,16
636,Köhn? tikili,20,var,var,1,['Nizami r.'],Yoxdur,5363425,52000,vasit?çi (agent),Yoxdur,https://bina.az/items/5363425,40.40702827,49.95576708,2,5
637,Köhn? tikili,50,yoxdur,var,2,X?tai r.,NZS q.,5366022,52000,vasit?çi (agent),Yoxdur,https://bina.az/items/5366022,40.3867441,49.90295836,1,2
638,Yeni tikili,48,var,var,2,Melissa Park,20 Yanvar m.,5367162,52000,mülkiyy?tçi,var,https://bina.az/items/5367162,40.39804286,49.80833873,8,20
639,Köhn? tikili,18,var,var,1,Azadl?q Prospekti m.,Bin?q?di r.,5371025,52000,vasit?çi (agent),Yoxdur,https://bina.az/items/5371025,40.42533717,49.84064493,3,5
640,Yeni tikili,43,yoxdur,yoxdur,2,Suraxan? r.,Z?? q.,5373633,52000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5373633,40.38330553,50.0293227,2,4
641,Yeni tikili,58,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,4118389,52500,vasit?çi (agent),Yoxdur,https://bina.az/items/4118389,40.49102094,49.75873263,12,15
642,Yeni tikili,44,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5118235,52500,vasit?çi (agent),Yoxdur,https://bina.az/items/5118235,40.49219702,49.7532177,2,6
643,Yeni tikili,44,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5229542,52500,vasit?çi (agent),Yoxdur,https://bina.az/items/5229542,40.49219702,49.7532177,2,6
644,Yeni tikili,50,var,var,2,20 Yanvar m.,Yasamal r.,5322274,52500,vasit?çi (agent),Yoxdur,https://bina.az/items/5322274,40.4042727,49.81005337,9,20
645,Yeni tikili,48,var,yoxdur,2,Ab?eron r.,Mehdiabad q.,5336428,52800,mülkiyy?tçi,var,https://bina.az/items/5336428,40.49083516,49.85250937,3,5
646,Köhn? tikili,17,var,yoxdur,1,Neftçil?r m.,Nizami r.,4869777,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/4869777,40.40779787,49.95428764,2,5
647,Yeni tikili,42,yoxdur,var,1,Ab?eron r.,Masaz?r q.,4942214,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/4942214,40.47848341,49.74573889,2,5
648,Yeni tikili,44,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5028392,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5028392,40.49219702,49.7532177,1,6
649,Yeni tikili,47,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5077683,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5077683,40.49219702,49.7532177,8,8
650,Yeni tikili,44,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5115806,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5115806,40.49219702,49.7532177,5,6
651,Yeni tikili,52,yoxdur,var,1,Bin?q?di r.,Xoc?s?n q.,5224721,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5224721,40.4080377,49.7718087,7,9
652,Yeni tikili,42,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5275308,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5275308,40.4944224,49.75590975,2,4
653,Köhn? tikili,20,var,var,1,S?bail r.,Badamdar q.,5316973,53000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5316973,40.33969642,49.80364901,5,5
654,Yeni tikili,44,var,var,2,Ab?eron r.,Masaz?r q.,5318731,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5318731,40.4862557,49.757531,6,6
655,Köhn? tikili,20,var,var,1,Neftçil?r m.,Xalqlar Dostlu?u m.,5322043,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5322043,40.40652519,49.95334445,2,5
656,Köhn? tikili,30,var,var,1,Ukrayna dair?si,H?zi Aslanov m.,5327321,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5327321,40.37781534,49.95386775,6,9
657,Yeni tikili,32,yoxdur,var,1,['Ab?eron r.'],Yoxdur,5344842,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5344842,40.46254591,49.72549302,2,17
658,Yeni tikili,38,var,var,2,Ab?eron r.,Masaz?r q.,5361676,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5361676,40.49075984,49.7533253,6,6
659,Yeni tikili,35,var,var,2,Ab?eron r.,Masaz?r q.,5368290,53000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5368290,40.49247167,49.75001165,6,6
660,Yeni tikili,35,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5370977,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5370977,40.49147786,49.75607188,6,6
661,Yeni tikili,38,var,var,2,Ab?eron r.,Masaz?r q.,5371308,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5371308,40.49146415,49.75796099,6,6
662,Yeni tikili,48,var,var,2,Melissa Park,20 Yanvar m.,5371994,53000,vasit?çi (agent),var,https://bina.az/items/5371994,40.39792684,49.80839576,8,20
663,Yeni tikili,35,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5374329,53000,vasit?çi (agent),Yoxdur,https://bina.az/items/5374329,40.49200005,49.75564272,6,6
664,Yeni tikili,44,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5142878,53500,vasit?çi (agent),Yoxdur,https://bina.az/items/5142878,40.49219702,49.7532177,2,6
665,Yeni tikili,35,var,var,2,Ab?eron r.,Masaz?r q.,5371213,53500,vasit?çi (agent),var,https://bina.az/items/5371213,40.49102094,49.75349696,6,6
666,Yeni tikili,83,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,4738883,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/4738883,40.49219702,49.7532177,6,6
667,Yeni tikili,54,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,4812688,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/4812688,40.49219702,49.7532177,4,6
668,Yeni tikili,52,var,var,1,Ab?eron r.,Masaz?r q.,4970306,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/4970306,40.4862557,49.757531,1,11
669,Yeni tikili,83,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5071285,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/5071285,40.49219702,49.7532177,6,6
670,Yeni tikili,54,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5079669,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/5079669,40.49219702,49.7532177,1,6
671,Yeni tikili,83,yoxdur,yoxdur,2,Ab?eron r.,Masaz?r q.,5227117,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/5227117,40.49219702,49.7532177,6,6
672,Yeni tikili,54,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5229393,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/5229393,40.49219702,49.7532177,1,6
673,Yeni tikili,57,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5244129,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/5244129,40.49219702,49.7532177,5,6
674,Yeni tikili,50,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5252128,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/5252128,40.47817796,49.75162585,4,4
675,Yeni tikili,42,yoxdur,var,2,Ab?eron r.,Masaz?r q.,5301847,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/5301847,40.4899124,49.75974083,2,4
676,Yeni tikili,47,yoxdur,yoxdur,1,Ab?eron r.,Masaz?r q.,5317824,54000,vasit?çi (agent),Yoxdur,https://bina.az/items/5317824,40.50602785,49.75525483,3,8
